,dialogue_with_speaker
15956,"NARRATOR:The man kneels on the ground sobbing, laying a pile of burnt bones on the ground"
15957,MISSANDEI: *translating* My girl. My little girl.
15958,NARRATOR:The man continues to sob. In another room Daenerys is speaking with Missandei
15959,DAENERYS: What was her name?
15960,"MISSANDEI: Zala, your grace."
15961,DAENERYS: How old was she?
15962,MISSANDEI: Three.
15963,DAENERYS: Three. *in Valyrian* And still no word on Drogon?
15964,"GREY WORM: *in Valyrian* Sailors saw him flying over the Black Cliffs three days ago, my queen. Nothing since then."
15965,DAENERYS: *in Valyrian* Meet me in the catacombs.
15966,NARRATOR:The entrance to the catacombs is rolled open. Daenerys' dragons enter followed by Daenerys. Inside there is food for them. They chomp at the food as Daenerys puts a chain collar around their necks. She walks away crying as they screech at her. She turns around as the catacombs close with tears in her eyes.
15967,CUT TO: CASTLE BLACK
15968,NARRATOR:Aemon and the rest of the Night's Watch burn the bodies of their fallen comrades
15969,"AEMON: They came to us from White Harbor and Barrowton, from Fairmarket and King's Landing, from north and south, from east and west. They died protecting men, women, and children who will never know their names. It is for us to remember them. Our brothers, we shall never see their like again."
15970,ALL TOGETHER: And now their watch is ended.
15971,AEMON: And now their watch is ended.
15972,NARRATOR:Aemon passes the torch around as each member of the Night's Watch helps burn the bodies. Stannis watches from above. Jon Snow and Melisandre share a look
15973,TORMUND: Your old blind man patched me up. Why?
15974,"JON: He's sworn to treat all wounded men, friend or foe."
15975,TORMUND: You want me alive so you can torture me?
15976,JON: No one's going to torture you.
15977,TORMUND: So how do we die? Hanging? Beheading? Drop us from the top of the wall?
15978,JON: I don't know what happens to the prisoners.
15979,TORMUND: Who decides?
15980,JON: I suppose Stannis does.
15981,TORMUND: He your king now?
15982,JON: I don't have a king.
15983,"TORMUND: You spent too much time with us, Jon Snow. You can never be a kneeler again."
15984,JON: We're gonna burn the bodies of your dead. Do you want to say any words over them?
15985,TORMUND: Words? What kind of words?
15986,JON: Funeral words. I don't know how the Free Folk do it.
15987,TORMUND: Do what?
15988,JON: Say farewell.
15989,"TORMUND: The dead can't hear us, boy."
15990,NARRATOR:Jon walks away
15991,TORMUND: Snow. Did you love her? She loved you.
15992,JON: She told you?
15993,TORMUND: No. All she ever talked about was killing you. That's how I know. She belongs in the North. The real North. You understand me?
15994,NARRATOR:Jon leaves and takes Ygritte's body out past The Wall. He burns her body in a pile of logs.
15995,CUT TO: BEYOND THE WALL
15996,NARRATOR:Hodor drags Bran through the snow followed by Jojen and Meera Reed
15997,"MEERA: We can stop, we can rest."
15998,JOJEN: We'll rest with the three-eyed raven.
15999,NARRATOR:Jojen falls to the ground
16000,MEERA: We're not going to make it.
16001,JOJEN: We're already here.
16002,"BRAN: Jojen. Jojen! Look, Jojen, look."
16003,NARRATOR:The group stands at the edge of a cliff. A large tree is seen  not too far off in the distance. They head toward it. As they walk a skeleton hand reaches up and drags Jojen to the ground. It starts pulling him backwards as Meera runs towards him
16004,MEERA: JOJEN! Hold on!
16005,BRAN (to Hodor): Help them! Now!
16006,MEERA: Hold on to me!
16007,NARRATOR:More hands burst from the ground.
16008,HODOR: Hodor...
16009,BRAN: Help them!
16010,"NARRATOR:Skeleton warriors have now emerged from the ground. They attack Jojen, Meera and Hodor. A brawl ensues. One of them attacks Bran until his direwolf, Summer, fights it off. Bran then wargs into Hodor and starts fighting back."
16011,"JOJEN: Bran! Save yourself, now!"
16012,"NARRATOR:Meera defeats a skeleton warrior, only to see another repeatedly stabbing Jojen. Just as two skeletons close in on the warging Bran, they’re destroyed by two fireballs, apparently controlled by a young girl."
16013,"GIRL: Come with me, Brandon Stark!"
16014,NARRATOR:She looks at Meera and Jojen.
16015,"GIRL: He is lost. Come with me, or die with him."
16016,JOJEN: Go with them.
16017,"NARRATOR:The girl throws some more fireballs and the group move into a cave. When the skeletons try to follow, they explode."
16018,GIRL: They cannot follow us. The power that moves them is powerless here.
16019,BRAN: Who are you?
16020,"GIRL: The First Men called us The Children, but we were born long before them. Come, he waits for you."
16021,NARRATOR:They enter a room filled with tree roots. An old man is seated in the center. Bran approaches him.
16022,BRAN: You’re the three-eyed raven.
16023,"OLD MAN: I have been many things. Now, I am what you see."
16024,"MEERA: My brother, he led us to you, and now he…"
16025,"OLD MAN: He knew what would happen. From the moment he left, he knew, and he went anyway."
16026,MEERA: How do you know?
16027,"OLD MAN: I’ve been watching you. All of you, all of your lives, with a thousand eyes and one. Now you’ve come to me at last, Brandon Stark, though the hour is late."
16028,BRAN: I didn’t want anyone to die for me.
16029,OLD MAN: He died so that you could find what you have lost.
16030,BRAN: You’re going to help me walk again?
16031,OLD MAN: You’ll never walk again. But you will fly.
16032,CUT TO: THE RIVERLANDS
16033,NARRATOR:Brienne and Podrick wake up in the open air on their way to the Eyrie.
16034,BRIENNE: Podrick. Podrick! Where are the horses?
16035,PODRICK: I hobbled them last night.
16036,BRIENNE: What sort of hobble?
16037,"PODRICK: A figure-eight, like you taught me."
16038,BRIENNE: If you did it like I taught you then the horses would be here.
16039,"PODRICK: Thieves, maybe?"
16040,BRIENNE: It’s at least thirty miles to the Eyrie from here. You’re carrying the saddle bags.
16041,NARRATOR:Brienne sees Arya Stark practising her river-dancing.
16042,"ARYA: People coming. You can shit later, there’s people coming!"
16043,BRIENNE: Morning!
16044,ARYA: Morning.
16045,BRIENNE: I like your sword. Are we getting close to the bloody gate?
16046,ARYA: About ten more miles.
16047,BRIENNE: Did you hear that Podrick? Only about ten more miles to the Bloody Gate.
16048,ARYA: Are you a knight?
16049,BRIENNE: No.
16050,ARYA: But you know how to use that sword.
16051,BRIENNE: I do.
16052,ARYA: Does it have a name?
16053,BRIENNE: “Oathkeeper.”
16054,ARYA: Mine’s “Needle.”
16055,BRIENNE: Good name.
16056,ARYA: Who taught you how to fight?
16057,BRIENNE: My father.
16058,ARYA: Mine never wanted to. Said fighting was for boys.
16059,"BRIENNE: Mine said the same. But I kept fighting the boys anyway. Kept losing. Finally my father said, “If you’re going to do it, you might as well do it right.”"
16060,NARRATOR:Sandor “The Hound” Clegane emerges.
16061,"BRIENNE: Seven blessings. I’m Brienne of Tarth, this is Podrick Payne."
16062,HOUND: You want something?
16063,BRIENNE: You’re Arya Stark.
16064,HOUND: I asked if you wanted something.
16065,BRIENNE: I swore to your mother I would bring you home to her.
16066,ARYA: My mother’s dead.
16067,BRIENNE: I know. I wish I could’ve been there to protect her.
16068,ARYA: You’re not a northerner.
16069,"BRIENNE: I know, but I swore a sacred vow to protect her."
16070,ARYA: Why didn’t you?
16071,BRIENNE: She commanded me to bring Jaime Lannister back to King’s Landing.
16072,HOUND: You’re paid by the Lannisters. You’re here for the bounty on me.
16073,BRIENNE: I’m not paid by the Lannisters.
16074,"HOUND: No? Fancy sword you’ve got there. Where’d you get it? I’ve been looking at Lannister gold all my life. Go on, Brienne of fucking Tarth, tell me that’s not Lannister gold."
16075,BRIENNE: Jaime Lannister gave me this sword.
16076,ARYA: The Bloody Gate’s ten miles.
16077,BRIENNE: I swore to your mother by the Old Gods and the New -
16078,ARYA: I don’t care what you swore!
16079,BRIENNE: Arya!
16080,HOUND: You heard the girl! She’s not coming with you.
16081,BRIENNE: She is.
16082,NARRATOR:Brienne and The Hound both draw their swords.
16083,BRIENNE: Come with me Arya. I’ll take you to safety.
16084,"HOUND: Safety?! Where the fuck’s that? Her aunt in the Eyrie’s dead. Her mother’s dead, her father’s dead, her brother’s dead. Winterfell’s a pile of rubble. There’s no safety, you dumb bitch. If you don’t know that by now, you’re the wrong one to watch over her."
16085,BRIENNE: And that’s what you’re doing? Watching over her?
16086,"HOUND: Aye, that’s what I’m doing."
16087,NARRATOR:They begin a swordfight. The Hound seems to have the upper hand but Brienne defends well and floors him.
16088,BRIENNE: I have no wish to kill you Ser.
16089,"NARRATOR:The Hound grabs Brienne’s blade with his palms, shoves it to one side and punches her."
16090,HOUND: I’m not a knight.
16091,"NARRATOR:They fight bare-handed, Brienne bites off The Hound's ear, then The Hound draws a knife, and Brienne grabs a rock. She pushes The Hound down a steep cliff."
16092,BRIENNE: Arya! Arya! ARYA! Where is she?
16093,PODRICK: She was just here...
16094,BRIENNE: Why weren’t you watching her?
16095,PODRICK: I was watching you I thought you migth need some help…
16096,BRIENNE: Which way Pod? Which way did she go?
16097,"PODRICK: Ah, I think that way."
16098,BRIENNE: Arya!
16099,NARRATOR:The camera moves to show us Arya hiding just above Brienne. She walks down to The Hound.
16100,HOUND: You’re still here? Coughs Big bitch saved you.
16101,ARYA: I don’t need saving.
16102,"HOUND: No, not you. You’re a real killer. With your water dancing, and your needle."
16103,ARYA: You’re gonna die?
16104,"HOUND: Unless there’s a Maester hiding behind that rock, aye, I’m done. I’d skin you alive for wine. Arya offers water. Fuck water! Killed by a woman. (Chuckles) I bet you liked that. Go on, go after her. She’ll help you. Going out alone, you won’t last a day out there."
16105,ARYA: I’ll last longer than you.
16106,"HOUND: You remember where the heart is? Fuck it. I’m ready. Go on, girl. Another name off your list. You kept promising me. I cut down your butcher’s boy, the ginger. He was begging for mercy. Please sir, please don’t kill me, please, please. Bled all over my horse. Saddle stunk of butcher’s boy for weeks. And your sister, your pretty sister. I should’ve taken her. That night the Blackwater burned, I should’ve fucked her bloody. At least I’d have one happy memory! Do I have to beg you? Do it. Do it."
16107,"NARRATOR:Arya stands up, takes The Hound’s coin purse, and walks away."
16108,HOUND: Kill me. Kill me! Kill me! Kill me!
16109,CUT TO: KING'S LANDING
16110,NARRATOR:We enter Tyrion’s cell. The door opens.
16111,"TYRION: Oh, get on with it you son of a whore."
16112,JAIME: Is that any way to speak about our mother?
16113,TYRION: What’re you doing?
16114,JAIME: What do you think I’m doing? The galley’s waiting in the bay bound for the Free Cities.
16115,TYRION: Who’s helping you?
16116,JAIME: Varys.
16117,TYRION: Varys?
